Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C-PF;24;TOT;43;4;18.9;2.9;6.3;0.467;0.3;1.5;0.238;2.6;4.8;0.536;0.494;0.8;1.3;0.611;2.3;3.4;5.7;1.3;0.6;0.7;1;1.7;7
1;Precious Achiuwa;C;24;TOR;25;0;17.5;3.1;6.8;0.459;0.5;1.9;0.277;2.6;4.9;0.528;0.497;1;1.7;0.571;2;3.4;5.4;1.8;0.6;0.5;1.2;1.6;7.7
1;Precious Achiuwa;PF;24;NYK;18;4;20.9;2.7;5.6;0.48;0.1;0.9;0.125;2.6;4.7;0.548;0.49;0.5;0.7;0.75;2.6;3.4;6.1;0.6;0.4;0.9;0.7;1.9;5.9
2;Bam Adebayo;C;26;MIA;39;39;34.8;7.6;15.2;0.503;0;0.3;0.091;7.6;14.9;0.51;0.503;5.2;6.7;0.776;2.2;8.4;10.6;4.1;1;1;2.5;2.5;20.5
3;Ochai Agbaji;SG;23;UTA;50;10;19.9;2.1;4.9;0.425;0.9;2.8;0.329;1.2;2.1;0.551;0.518;0.3;0.4;0.75;0.7;1.8;2.5;0.9;0.5;0.6;0.7;1.3;5.4
4;Santi Aldama;PF;23;MEM;38;12;24.1;4;9.2;0.431;1.7;4.8;0.348;2.3;4.4;0.521;0.521;0.9;1.5;0.625;1.2;4.5;5.7;1.9;0.7;0.7;1.1;1.5;10.5
5;Nickeil Alexander-Walker;SG;25;MIN;49;16;23.1;2.5;5.8;0.426;1.4;3.9;0.365;1.1;1.9;0.547;0.548;0.5;0.7;0.743;0.4;1.4;1.8;2.6;0.9;0.5;0.9;1.9;6.9
6;Grayson Allen;SG;28;PHO;43;43;33;4.5;8.6;0.519;2.6;5.3;0.496;1.8;3.3;0.556;0.672;1.7;1.9;0.888;0.7;3.4;4.1;2.9;0.9;0.6;1.4;2.2;13.2
7;Jarrett Allen;C;25;CLE;42;42;30.3;6.4;9.9;0.646;0;0;0;6.4;9.9;0.647;0.646;2.7;3.6;0.75;3.6;7;10.7;2.8;0.9;1.1;1.8;2.3;15.5
8;Jose Alvarado;PG;25;NOP;31;0;16.1;2.4;5.8;0.413;1.3;3.4;0.39;1.1;2.4;0.446;0.528;0.7;1.1;0.657;0.4;1.7;2.1;1.8;1;0.3;0.7;1.5;6.8
